trainee_id,trainee_name,age,height,weight,body_fat,body_muscle,trainee_goals,coach_id,coach_name,bio,coach_rating,coach_experiences,suitability_score,skill_match_score,coach_rating_contribution
1,Kristina Gray,27,161.1,46.0,15.9,29.8,strength training|muscle gain,1,Ricardo Davies,Executive step four part with. Economy training standard past truth. Senior small but war capital recent.,3.9,injury prevention|strength training|weight loss,0.4014,0.3334,0.168
1,Kristina Gray,27,161.1,46.0,15.9,29.8,strength training|muscle gain,2,Christopher Wilson,Friend every peace its politics. Court next phone rest rule anything. Blue west watch economy fly.,4.2,mobility improvement|strength training|muscle gain|cardio fitness,0.583,0.5415,0.204
1,Kristina Gray,27,161.1,46.0,15.9,29.8,strength training|muscle gain,3,Carlos Christensen,Nature say trip suddenly.,4.2,crossfit|muscle gain|weight loss,0.4382,0.3346,0.204
1,Kristina Gray,27,161.1,46.0,15.9,29.8,strength training|muscle gain,4,Shannon Patterson,Task teach list environment music.,5.0,agility training|crossfit|powerlifting|cardio fitness|muscle gain|bodybuilding|weight loss,0.42,0.1714,0.3
1,Kristina Gray,27,161.1,46.0,15.9,29.8,strength training|muscle gain,5,Carla Carrillo,Leave great tonight store past blue. Accept weight cut lot learn treatment. White scientist return maintain.,4.8,crossfit|injury prevention|cardio fitness|endurance improvement|bodybuilding|strength training|weight loss,0.4026,0.1808,0.276
1,Kristina Gray,27,161.1,46.0,15.9,29.8,strength training|muscle gain,6,Michelle Perez,Rise culture you test police hard. Finish image however part.,4.8,nutrition for fitness|powerlifting|rehabilitation|cardio fitness|endurance improvement|muscle gain|strength training|weight loss,0.5227,0.3524,0.276
1,Kristina Gray,27,161.1,46.0,15.9,29.8,strength training|muscle gain,7,Scott Sanchez,Brother wish large teacher every state college. While provide admit camera. Enjoy often see radio begin.,4.7,crossfit|rehabilitation|cardio fitness|mobility improvement|muscle gain|strength training|weight loss,0.5566,0.418,0.264
1,Kristina Gray,27,161.1,46.0,15.9,29.8,strength training|muscle gain,8,Kristine Murphy,Executive single attack will bad everybody human seat. Follow Republican politics charge or.,4.0,crossfit|injury prevention|muscle gain|bodybuilding|strength training|weight loss,0.4736,0.4194,0.18
1,Kristina Gray,27,161.1,46.0,15.9,29.8,strength training|muscle gain,9,Daniel Hart,Writer allow such throughout before find rise. Happy choice the morning expect. Good message compare of mind yard exactly. Point perhaps bring.,3.8,crossfit|cardio fitness|endurance improvement|strength training|weight loss,0.3167,0.2296,0.156
1,Kristina Gray,27,161.1,46.0,15.9,29.8,strength training|muscle gain,10,Andrew Long,Capital language improve inside tree foreign article. Time fact remember attack mother region usually.,3.6,agility training|mobility improvement|cardio fitness|weight loss,0.132,0.0,0.132
